"n","ID ADIS","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","No. animals","Species","HPAI strain","Confirmation date"
16,"IT-HPAI(NON-P)-2022-00025","SARDEGNA",20,"CAGLIARI",92,"CA",39.21531192,9.110616306,36,"Mallard duck (Anas platyrhynchos), Laying hen (Gallus gallus domesticus), Rock dove (Columba livia), Common peacock (Pavo cristatus)","H5N1",2022-11-07
17,"IT-HPAI(NON-P)-2022-00026","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Mute swan (Cygnus olor)","H5N1",2022-11-08
18,"IT-HPAI(NON-P)-2022-00027","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-10
19,"IT-HPAI(NON-P)-2022-00028","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-10
20,"IT-HPAI(NON-P)-2022-00029","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Mute swan (Cygnus olor)","H5N1",2022-11-10
21,"IT-HPAI(NON-P)-2022-00030","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Northern pintail (Anas acuta)","H5N1",2022-11-10
22,"IT-HPAI(NON-P)-2022-00031","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Great Spotted Woodpecker (Dendrocopos major)","H5N1",2022-11-12
23,"IT-HPAI(NON-P)-2022-00032","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Common buzzard (Buteo buteo)","H5N1",2022-12-14
24,"IT-HPAI(NON-P)-2022-00033","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Common teal (Anas crecca)","H5N1",2022-11-16
25,"IT-HPAI(NON-P)-2022-00034","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-11-17
26,"IT-HPAI(NON-P)-2022-00035","SARDEGNA",20,"ORISTANO",95,"OR",39.90381075,8.591183151,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-11-18
27,"IT-HPAI(NON-P)-2022-00036","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-11-22
28,"IT-HPAI(NON-P)-2022-00037","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common teal (Anas crecca)","H5N1",2022-11-23
29,"IT-HPAI(NON-P)-2022-00038","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common buzzard (Buteo buteo)","H5N1",2022-11-25
30,"IT-HPAI(NON-P)-2022-00039","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2022-11-28
31,"IT-HPAI(NON-P)-2022-00040","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-25
32,"IT-HPAI(NON-P)-2022-00041","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Mallard duck (Anas platyrhynchos)","H5N1",2022-11-25
33,"IT-HPAI(NON-P)-2022-00042","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Common teal (Anas crecca)","H5N1",2022-11-26
34,"IT-HPAI(NON-P)-2022-00043","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,43,"Common teal (Anas crecca)","H5N1",2022-11-22
35,"IT-HPAI(NON-P)-2022-00044","LOMBARDIA",3,"PAVIA",18,"PV",45.18509264,9.160157191,1,"Common buzzard (Buteo buteo)","H5N1",2022-11-18
36,"IT-HPAI(NON-P)-2022-00045","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Eurasian wigeon (Mareca penelope)","H5N1",2022-12-02
37,"IT-HPAI(NON-P)-2022-00046","UMBRIA",10,"PERUGIA",54,"PG",43.10675841,12.38824698,1,"Mute swan (Cygnus olor)","H5N1",2022-12-06
38,"IT-HPAI(NON-P)-2022-00047","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Mute swan (Cygnus olor)","H5N1",2022-12-06
39,"IT-HPAI(NON-P)-2022-00048","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Mandarin duck (Aix galericulata)","H5N1",2022-12-14
40,"IT-HPAI(NON-P)-2022-00049","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Greater white-fronted goose (Anser albifrons)","H5N1",2022-12-14
41,"IT-HPAI(NON-P)-2022-00050","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Greater flamingo (Phoenicopterus roseus)","H5N1",2022-12-14
42,"IT-HPAI(NON-P)-2022-00051","FRIULI-VENEZIA GIULIA",6,"GORIZIA",31,"GO",45.94149817,13.62212502,1,"Eurasian collared dove (Streptopelia decaocto)","H5N1",2022-12-14
43,"IT-HPAI(NON-P)-2022-00052","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Greylag goose (Anser anser)","H5N1",2022-12-16
44,"IT-HPAI(NON-P)-2022-00053","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Common teal (Anas crecca)","H5N1",2022-12-19
45,"IT-HPAI(NON-P)-2022-00054","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-12-22
46,"IT-HPAI(NON-P)-2022-00055","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Grey heron (Ardea cinerea)","H5N1",2022-12-23
47,"IT-HPAI(NON-P)-2022-00056","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Common teal (Anas crecca)","H5N1",2022-12-22
48,"IT-HPAI(NON-P)-2022-00057","UMBRIA",10,"PERUGIA",54,"PG",43.10675841,12.38824698,1,"Peregrin falcon (Falco peregrinus)","H5N1",2022-12-30
49,"IT-HPAI(NON-P)-2023-00001","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Common kestrel (Falco tinnunculus)","H5N1",2023-01-03
50,"IT-HPAI(NON-P)-2023-00002","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,2,"Mute swan (Cygnus olor)","H5N1",2023-01-03
51,"IT-HPAI(NON-P)-2023-00003","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-01-05
52,"IT-HPAI(NON-P)-2023-00004","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Eurasian wigeon (Mareca penelope)","H5N1",2023-01-04
53,"IT-HPAI(NON-P)-2023-00005","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Mallard duck (Anas platyrhynchos)","H5N1",2023-01-04
54,"IT-HPAI(NON-P)-2023-00006","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,2,"Eurasian wigeon (Mareca penelope)","H5N1",2023-01-05
55,"IT-HPAI(NON-P)-2023-00007","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Mute swan (Cygnus olor)","H5N1",2023-01-10
56,"IT-HPAI(NON-P)-2023-00008","EMILIA ROMAGNA",8,"PIACENZA",33,"PC",45.05193462,9.692632596,1,"Common buzzard (Buteo buteo)","H5N1",2023-01-17
57,"IT-HPAI(NON-P)-2023-00009","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-01-27
58,"IT-HPAI(NON-P)-2023-00010","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-02-03
59,"IT-HPAI(NON-P)-2023-00011","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-09
60,"IT-HPAI(NON-P)-2023-00012","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,2,"Mute swan (Cygnus olor)","H5N1",2023-02-03
61,"IT-HPAI(NON-P)-2023-00013","FRIULI-VENEZIA GIULIA",6,"UDINE",30,"UD",46.06255516,13.2348383,1,"Mute swan (Cygnus olor)","H5N1",2023-02-10
62,"IT-HPAI(NON-P)-2023-00014","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-13
63,"IT-HPAI(NON-P)-2023-00015","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Common buzzard (Buteo buteo)","H5N1",2023-02-13
64,"IT-HPAI(NON-P)-2023-00016","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
65,"IT-HPAI(NON-P)-2023-00017","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
66,"IT-HPAI(NON-P)-2023-00018","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
67,"IT-HPAI(NON-P)-2023-00019","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
68,"IT-HPAI(NON-P)-2023-00020","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
69,"IT-HPAI(NON-P)-2023-00021","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
70,"IT-HPAI(NON-P)-2023-00022","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
71,"IT-HPAI(NON-P)-2023-00023","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
72,"IT-HPAI(NON-P)-2023-00024","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
73,"IT-HPAI(NON-P)-2023-00025","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
74,"IT-HPAI(NON-P)-2023-00026","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-10
75,"IT-HPAI(NON-P)-2023-00027","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-14
76,"IT-HPAI(NON-P)-2023-00028","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
77,"IT-HPAI(NON-P)-2023-00029","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,9,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
78,"IT-HPAI(NON-P)-2023-00030","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
79,"IT-HPAI(NON-P)-2023-00031","EMILIA ROMAGNA",8,"PIACENZA",33,"PC",45.05193462,9.692632596,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-15
80,"IT-HPAI(NON-P)-2023-00032","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-16
81,"IT-HPAI(NON-P)-2023-00033","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-17
82,"IT-HPAI(NON-P)-2023-00034","LOMBARDIA",3,"MONZA E BRIANZA",108,"MB",45.58439043,9.273582472,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-17
83,"IT-HPAI(NON-P)-2023-00035","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-20
84,"IT-HPAI(NON-P)-2023-00036","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-21
85,"IT-HPAI(NON-P)-2023-00037","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Eurasian collared dove (Streptopelia decaocto)","H5N1",2023-02-21
86,"IT-HPAI(NON-P)-2023-00038","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-21
87,"IT-HPAI(NON-P)-2023-00039","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
88,"IT-HPAI(NON-P)-2023-00040","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
89,"IT-HPAI(NON-P)-2023-00041","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
90,"IT-HPAI(NON-P)-2023-00042","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
91,"IT-HPAI(NON-P)-2023-00043","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
92,"IT-HPAI(NON-P)-2023-00044","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
93,"IT-HPAI(NON-P)-2023-00045","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Grey heron (Ardea cinerea)","H5N1",2023-02-23
94,"IT-HPAI(NON-P)-2023-00046","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
95,"IT-HPAI(NON-P)-2023-00047","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
96,"IT-HPAI(NON-P)-2023-00048","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
97,"IT-HPAI(NON-P)-2023-00049","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
98,"IT-HPAI(NON-P)-2023-00050","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
99,"IT-HPAI(NON-P)-2023-00051","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,10,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
100,"IT-HPAI(NON-P)-2023-00052","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,5,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
101,"IT-HPAI(NON-P)-2023-00053","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
102,"IT-HPAI(NON-P)-2023-00054","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
103,"IT-HPAI(NON-P)-2023-00055","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
104,"IT-HPAI(NON-P)-2023-00056","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
105,"IT-HPAI(NON-P)-2023-00057","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-24
106,"IT-HPAI(NON-P)-2023-00058","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-01
107,"IT-HPAI(NON-P)-2023-00059","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-02-23
108,"IT-HPAI(NON-P)-2023-00060","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Peregrin falcon (Falco peregrinus)","H5N1",2023-03-01
109,"IT-HPAI(NON-P)-2023-00061","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Peregrin falcon (Falco peregrinus)","H5N1",2023-03-01
110,"IT-HPAI(NON-P)-2023-00062","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-01
111,"IT-HPAI(NON-P)-2023-00063","LOMBARDIA",3,"BERGAMO",16,"BG",45.69441368,9.668424528,1,"Tawny owl (Strix aluco)","H5N1",2023-03-03
112,"IT-HPAI(NON-P)-2023-00064","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,4,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-01
113,"IT-HPAI(NON-P)-2023-00065","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-03
114,"IT-HPAI(NON-P)-2023-00066","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-03
115,"IT-HPAI(NON-P)-2023-00067","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
116,"IT-HPAI(NON-P)-2023-00068","EMILIA ROMAGNA",8,"REGGIO NELL’EMILIA",35,"RE",44.69735289,10.63007973,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
117,"IT-HPAI(NON-P)-2023-00069","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
118,"IT-HPAI(NON-P)-2023-00070","EMILIA ROMAGNA",8,"MODENA",36,"MO",44.64600009,10.92615487,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
119,"IT-HPAI(NON-P)-2023-00071","EMILIA ROMAGNA",8,"PARMA",34,"PR",44.80107394,10.32834985,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
120,"IT-HPAI(NON-P)-2023-00072","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-08
121,"IT-HPAI(NON-P)-2023-00073","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
122,"IT-HPAI(NON-P)-2023-00074","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
123,"IT-HPAI(NON-P)-2023-00075","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
124,"IT-HPAI(NON-P)-2023-00076","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-09
125,"IT-HPAI(NON-P)-2023-00077","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-09
126,"IT-HPAI(NON-P)-2023-00078","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-03-13
127,"IT-HPAI(NON-P)-2023-00079","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-13
128,"IT-HPAI(NON-P)-2023-00080","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-13
129,"IT-HPAI(NON-P)-2023-00081","LOMBARDIA",3,"LECCO",97,"LC",45.85575781,9.393392246,2,"Anatidae (unidentified)","H5N1",2023-03-14
130,"IT-HPAI(NON-P)-2023-00082","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
131,"IT-HPAI(NON-P)-2023-00083","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
132,"IT-HPAI(NON-P)-2023-00084","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
133,"IT-HPAI(NON-P)-2023-00085","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
134,"IT-HPAI(NON-P)-2023-00086","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
135,"IT-HPAI(NON-P)-2023-00087","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
136,"IT-HPAI(NON-P)-2023-00088","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
137,"IT-HPAI(NON-P)-2023-00089","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
138,"IT-HPAI(NON-P)-2023-00090","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
139,"IT-HPAI(NON-P)-2023-00091","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
140,"IT-HPAI(NON-P)-2023-00092","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
141,"IT-HPAI(NON-P)-2023-00093","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
142,"IT-HPAI(NON-P)-2023-00094","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,16,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
143,"IT-HPAI(NON-P)-2023-00095","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,78,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
144,"IT-HPAI(NON-P)-2023-00096","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,20,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
145,"IT-HPAI(NON-P)-2023-00097","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,5,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
146,"IT-HPAI(NON-P)-2023-00098","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,15,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
147,"IT-HPAI(NON-P)-2023-00099","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
