"n","ADIS Reference","Region","Province","Latitude","Longitude","Species","Subtype","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
148,"IT-HPAI(P)-2021-00154","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-18,2022-01-19,2022-01-28
149,"IT-HPAI(P)-2021-00155","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-03,2021-12-29,2022-01-21,2022-01-30
150,"IT-HPAI(P)-2021-00156","VENETO","PADOVA",45.40692987,11.87608718,"Broiler","H5N1",2021-12-03,2021-12-13,2022-01-29,2022-02-07
151,"IT-HPAI(P)-2021-00157","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-03,2021-12-31,2022-01-21,2022-01-30
152,"IT-HPAI(P)-2021-00158","VENETO","VERONA",45.43839046,10.99352685,"Broiler","H5N1",2021-12-04,2021-12-22,2022-01-21,2022-01-30
153,"IT-HPAI(P)-2021-00159","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-04,2021-12-16,2022-01-26,2022-02-04
154,"IT-HPAI(P)-2021-00160","VENETO","PADOVA",45.40692987,11.87608718,"Meat turkey","H5N1",2021-12-05,2021-12-18,2022-01-21,2022-01-30
155,"IT-HPAI(P)-2021-00161","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Broiler","H5N1",2021-12-04,2021-12-26,2022-01-16,2022-01-25
156,"IT-HPAI(P)-2021-00162","LOMBARDIA","MANTOVA",45.15726772,10.79277363,"Laying hen","H5N1",2021-12-07,2021-12-31,2022-01-21,2022-01-30
157,"IT-HPAI(P)-2021-00166","EMILIA ROMAGNA","RIMINI",44.06090087,12.5656295,"Multispecies/rural","H5N1",2021-12-04,2021-12-07,2021-12-28,2022-01-06
158,"IT-HPAI(P)-2021-00167","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-24,2022-01-21,2022-01-30
159,"IT-HPAI(P)-2021-00168","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-24,2022-02-19,2022-02-28
160,"IT-HPAI(P)-2021-00169","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-29,2022-01-21,2022-01-30
161,"IT-HPAI(P)-2021-00172","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-21,2022-02-04,2022-02-13
162,"IT-HPAI(P)-2021-00176","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-23,2022-01-19,2022-01-28
163,"IT-HPAI(P)-2021-00178","VENETO","VERONA",45.43839046,10.99352685,"Laying hen","H5N1",2021-12-06,2021-12-28,2022-01-21,2022-01-30
164,"IT-HPAI(P)-2021-00179","VENETO","VERONA",45.43839046,10.99352685,"Meat turkey","H5N1",2021-12-06,2021-12-30,2022-01-30,2022-02-08
