"Confirmed date","Country","HPAI strain","WOAH Classification","Cases"
2021-11-13,"Germany","H5N1","Wild birds",9
2021-11-14,"The Netherlands","H5N1","Farm",1
2021-11-14,"Poland","H5N1","Farm",2
2021-11-14,"Italy","H5N1","Farm",4
2021-11-14,"The Netherlands","H5","Wild birds",1
2021-11-15,"The Netherlands","H5N1","Wild birds",1
2021-11-15,"Italy","H5N1","Farm",15
2021-11-15,"Germany","H5N1","Farm",1
2021-11-15,"Germany","H5N1","Wild birds",7
2021-11-15,"Bulgaria","H5","Farm",1
2021-11-16,"The Netherlands","H5N1","Wild birds",3
2021-11-16,"Romania","H5N1","Wild birds",1
2021-11-16,"Poland","H5N1","Farm",1
2021-11-16,"Norway","H5N1","Wild birds",1
2021-11-16,"Italy","H5N1","Farm",7
2021-11-16,"Italy","H5N1","Wild birds",1
2021-11-16,"Hungary","H5N1","Farm",2
2021-11-16,"Germany","H5N1","Farm",1
2021-11-16,"Germany","H5N1","Wild birds",7
2021-11-16,"France","H5N1","Wild birds",1
2021-11-16,"Czech Republic","H5N1","Wild birds",1
2021-11-17,"Germany","H5","Wild birds",1
2021-11-17,"Poland","H5N1","Farm",4
2021-11-17,"Norway","H5N1","Wild birds",1
2021-11-17,"Italy","H5N1","Farm",5
2021-11-17,"Italy","H5N1","Wild birds",1
2021-11-17,"Ireland","H5N1","Wild birds",3
2021-11-17,"Hungary","H5N1","Farm",4
2021-11-17,"Germany","H5N1","Farm",1
2021-11-17,"Germany","H5N1","Wild birds",19
2021-11-17,"Denmark","H5N1","Wild birds",2
2021-11-18,"The Netherlands","H5N1","Wild birds",8
2021-11-18,"Sweden","H5N1","Wild birds",4
2021-11-18,"Poland","H5N1","Farm",2
2021-11-18,"Norway","H5N1","Farm",1
2021-11-18,"Italy","H5N1","Farm",3
2021-11-18,"Germany","H5N1","Farm",2
2021-11-18,"Germany","H5N1","Wild birds",7
2021-11-18,"Denmark","H5N1","Wild birds",1
2021-11-18,"Czech Republic","H5N1","Farm",1
2021-11-18,"Czech Republic","H5N1","Wild birds",1
2021-11-18,"Belgium","H5N1","Wild birds",2
2021-11-19,"Finland","H5N1","Wild birds",NA
2021-11-19,"Slovakia","H5N1","Backyard",1
2021-11-19,"Poland","H5N1","Farm",1
2021-11-19,"Italy","H5N1","Farm",5
2021-11-19,"Ireland","H5N1","Wild birds",9
2021-11-19,"Hungary","H5N1","Farm",3
2021-11-19,"Germany","H5N1","Wild birds",22
2021-11-19,"Denmark","H5N1","Wild birds",6
2021-11-19,"Croatia","H5N1","Wild birds",2
2021-11-19,"Finland","H5N8","Wild birds",1
2021-11-20,"Italy","H5N1","Farm",2
2021-11-20,"Ireland","H5N1","Farm",1
2021-11-20,"Hungary","H5N1","Farm",7
2021-11-20,"Germany","H5N1","Farm",1
2021-11-20,"Czech Republic","H5N1","Farm",1
2021-11-21,"Italy","H5N1","Farm",2
2021-11-21,"Hungary","H5N1","Farm",2
2021-11-22,"Belgium","H5","Wild birds",1
2021-11-22,"Poland","H5N1","Farm",1
2021-11-22,"Poland","H5N1","Wild birds",2
2021-11-22,"Italy","H5N1","Farm",5
2021-11-22,"Hungary","H5N1","Farm",1
2021-11-22,"Germany","H5N1","Wild birds",22
2021-11-22,"Belgium","H5N1","Wild birds",3
2021-11-23,"The Netherlands","H5N1","Captive birds",1
2021-11-23,"The Netherlands","H5N1","Farm",1
2021-11-23,"Switzerland","H5N1","Captive birds",1
2021-11-23,"Northern Ireland","H5N1","Wild birds",1
2021-11-23,"Italy","H5N1","Farm",10
2021-11-23,"Ireland","H5N1","Farm",1
2021-11-23,"Hungary","H5N1","Farm",2
2021-11-23,"Germany","H5N1","Wild birds",10
2021-11-23,"Denmark","H5N1","Captive birds",1
2021-11-23,"Czech Republic","H5N1","Wild birds",1
2021-11-24,"The Netherlands","H5N1","Wild birds",6
2021-11-24,"Slovakia","H5","Wild birds",1
2021-11-24,"Poland","H5N1","Farm",1
2021-11-24,"Northern Ireland","H5N1","Wild birds",1
2021-11-24,"Italy","H5N1","Farm",4
2021-11-24,"Ireland","H5N1","Wild birds",2
2021-11-24,"Hungary","H5N1","Captive birds",1
2021-11-24,"Germany","H5N1","Wild birds",2
