"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
297,"IT-HPAI(P)-2022-00003","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Meat turkey","H5N1",2021-12-31,2021-12-30,2022-01-20,2022-01-29
298,"IT-HPAI(P)-2022-00004","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Laying hen","H5N1",2021-12-31,2022-01-12,2022-02-02,2022-02-11
299,"IT-HPAI(P)-2022-00005","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2022-01-04,2022-01-15,2022-02-05,2022-02-14
300,"IT-HPAI(P)-2022-00006","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Laying hen","H5N1",2022-01-04,2022-01-20,2022-02-10,2022-02-19
301,"IT-HPAI(P)-2022-00007","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,"Broiler","H5N1",2022-01-04,2022-01-16,2022-02-06,2022-02-15
302,"IT-HPAI(P)-2022-00008","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2022-01-04,2022-01-14,2022-02-04,2022-02-13
303,"IT-HPAI(P)-2022-00009","VENETO",5,"ROVIGO",29,"RO",45.07107289,11.79007,"Laying hen","H5N1",2022-01-04,2022-01-14,2022-02-04,2022-02-13
304,"IT-HPAI(P)-2022-00010","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Broiler","H5N1",2022-01-04,2022-01-08,2022-01-29,2022-02-07
305,"IT-HPAI(P)-2022-00011","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2022-01-05,2022-01-15,2022-02-05,2022-02-14
306,"IT-HPAI(P)-2022-00012","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,"Multispecies/rural","H5N1",2022-01-10,2022-01-13,2022-02-03,2022-02-12
307,"IT-HPAI(P)-2022-00013","TOSCANA",9,"FIRENZE",48,"FI",43.76923077,11.25588885,"Multispecies/rural","H5N1",2022-01-14,2022-01-16,2022-02-06,2022-02-15
308,"IT-HPAI(P)-2022-00014","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,"Broiler","H5N1",2022-01-14,2022-01-15,2022-02-05,2022-02-14
309,"IT-HPAI(P)-2022-00016","LOMBARDIA",3,"PAVIA",18,"PV",45.18509264,9.160157191,"Meat duck","H5N1",2022-02-09,2022-02-12,2022-03-05,2022-03-14
310,"IT-HPAI(P)-2022-00017","TOSCANA",9,"PRATO",100,"PO",43.88062274,11.09703315,"Multispecies/rural","H5N1",2022-02-16,2022-02-23,2022-03-16,2022-03-25
311,"IT-HPAI(P)-2022-00018","TOSCANA",9,"PRATO",100,"PO",43.88062274,11.09703315,"Multispecies/rural","H5N1",2022-02-16,2022-02-19,2022-03-12,2022-03-21
312,"IT-HPAI(P)-2022-00019","LOMBARDIA",3,"PAVIA",18,"PV",45.18509264,9.160157191,"Multispecies/rural","H5N1",2022-02-18,2022-02-17,2022-03-10,2022-03-19
313,"IT-HPAI(P)-2022-00020","PIEMONTE",1,"CUNEO",4,"CN",44.39329625,7.551171632,"Broiler","H5N1",2022-02-24,2022-03-02,2022-03-23,2022-04-01
314,"IT-HPAI(P)-2022-00021","LOMBARDIA",3,"COMO",13,"CO",45.8099912,9.085159546,"Multispecies/rural","H5N1",2022-02-28,2022-03-04,2022-03-25,2022-04-03
315,"IT-HPAI(P)-2022-00022","LOMBARDIA",3,"CREMONA",19,"CR",45.13336675,10.02420865,"Multispecies","H5N1",2022-02-04,NA,NA,NA
316,"IT-HPAI(P)-2022-00023","TOSCANA",9,"FIRENZE",48,"FI",43.76923077,11.25588885,"Broiler/rural","H5N1",2022-03-17,2022-03-24,2022-04-14,2022-04-23
317,"IT-HPAI(P)-2022-00024","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,"Multispecies","H5N1",2022-04-01,2022-04-05,2022-04-26,2022-05-05
