"n","ADIS Reference","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","Species","HPAI strain","Confirmation date","Extinction date","Measures Protection Zone in force until","Measures Surveillance Zone in force until"
57,"IT-HPAI(P)-2021-00063","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-15,2022-01-05,2022-01-14
58,"IT-HPAI(P)-2021-00064","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-07,2022-01-21,2022-01-30
59,"IT-HPAI(P)-2021-00065","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-16,2021-12-01,2022-01-21,2022-01-30
60,"IT-HPAI(P)-2021-00066","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-15,2022-01-21,2022-01-30
61,"IT-HPAI(P)-2021-00067","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-02,2022-01-21,2022-01-30
62,"IT-HPAI(P)-2021-00068","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-15,2022-01-21,2022-01-30
63,"IT-HPAI(P)-2021-00069","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Broiler","H5N1",2021-11-17,2021-12-10,2022-01-30,2022-02-08
64,"IT-HPAI(P)-2021-00070","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-17,2021-12-16,2022-01-06,2022-01-15
65,"IT-HPAI(P)-2021-00071","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Pullet","H5N1",2021-11-18,2021-11-27,2022-01-30,2022-02-08
66,"IT-HPAI(P)-2021-00072","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-18,2021-12-15,2022-01-25,2022-02-03
67,"IT-HPAI(P)-2021-00073","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-18,2021-12-16,2022-01-21,2022-01-30
68,"IT-HPAI(P)-2021-00074","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,"Meat turkey","H5N1",2021-11-19,2021-12-15,2022-01-19,2022-01-28
