"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-11-18,"Italy",41.87194,12.56738,"H5N1","Farm","3"
2021-11-18,"Germany",51.165691,10.451526,"H5N1","Farm","2"
2021-11-18,"Germany",51.165691,10.451526,"H5N1","Wild birds","7"
2021-11-18,"Denmark",56.2639,9.5018,"H5N1","Wild birds","1"
2021-11-18,"Czech Republic",49.8175,15.473,"H5N1","Farm","1"
2021-11-18,"Czech Republic",49.8175,15.473,"H5N1","Wild birds","1"
2021-11-18,"Belgium",50.8333,44.69936,"H5N1","Wild birds","2"
2021-11-19,"Finland",61.92411,25.748151,"H5N1","Wild birds","NA"
2021-11-19,"Slovakia",48.669,19.699,"H5N1","Backyard","1"
2021-11-19,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-19,"Italy",41.87194,12.56738,"H5N1","Farm","5"
2021-11-19,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","9"
2021-11-19,"Hungary",47.1625,19.5033,"H5N1","Farm","3"
2021-11-19,"Germany",51.165691,10.451526,"H5N1","Wild birds","22"
2021-11-19,"Denmark",56.2639,9.5018,"H5N1","Wild birds","6"
2021-11-19,"Croatia",45.1,15.2,"H5N1","Wild birds","2"
2021-11-19,"Finland",61.92411,25.748151,"H5N8","Wild birds","1"
2021-11-20,"Italy",41.87194,12.56738,"H5N1","Farm","2"
2021-11-20,"Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-11-20,"Hungary",47.1625,19.5033,"H5N1","Farm","7"
2021-11-20,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-11-20,"Czech Republic",49.8175,15.473,"H5N1","Farm","1"
2021-11-21,"Italy",41.87194,12.56738,"H5N1","Farm","2"
2021-11-21,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-11-22,"Belgium",50.8333,44.69936,"H5","Wild birds","1"
2021-11-22,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-22,"Poland",51.9194,19.1451,"H5N1","Wild birds","2"
2021-11-22,"Italy",41.87194,12.56738,"H5N1","Farm","5"
2021-11-22,"Hungary",47.1625,19.5033,"H5N1","Farm","1"
2021-11-22,"Germany",51.165691,10.451526,"H5N1","Wild birds","22"
2021-11-22,"Belgium",50.8333,44.69936,"H5N1","Wild birds","3"
2021-11-23,"The Netherlands",52.1326,5.2913,"H5N1","Captive birds","1"
2021-11-23,"The Netherlands",52.1326,5.2913,"H5N1","Farm","1"
2021-11-23,"Switzerland",46.8182,8.2275,"H5N1","Captive birds","1"
2021-11-23,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-11-23,"Italy",41.87194,12.56738,"H5N1","Farm","10"
2021-11-23,"Ireland",53.1424,-7.6921,"H5N1","Farm","1"
2021-11-23,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-11-23,"Germany",51.165691,10.451526,"H5N1","Wild birds","10"
2021-11-23,"Denmark",56.2639,9.5018,"H5N1","Captive birds","1"
2021-11-23,"Czech Republic",49.8175,15.473,"H5N1","Wild birds","1"
2021-11-24,"The Netherlands",52.1326,5.2913,"H5N1","Wild birds","6"
2021-11-24,"Slovakia",48.669,19.699,"H5","Wild birds","1"
2021-11-24,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-11-24,"Northern Ireland",53.1424,-7.6921,"H5N1","Wild birds","1"
2021-11-24,"Italy",41.87194,12.56738,"H5N1","Farm","4"
2021-11-24,"Ireland",53.1424,-7.6921,"H5N1","Wild birds","2"
2021-11-24,"Hungary",47.1625,19.5033,"H5N1","Captive birds","1"
2021-11-24,"Germany",51.165691,10.451526,"H5N1","Wild birds","2"
2021-11-24,"Bulgaria",42.7339,25.4858,"H5N1","Captive birds","1"
2021-11-24,"Slovakia",48.669,19.699,"H5N1","Wild birds","1"
